"Journal";"ISSN";"Cites";"IFactor";"5IFactor";"Index";"Articles";"HalfLife";"Eigenfactor";"Influence";"Categoria"
"SPINAL CORD";"1362-4393";4076;1.804;1.846;0.431;160;"8.0";0.00659;0.515;"CLINICAL NEUROLOGY"
"SPINE";"0362-2436";37177;2.297;2.834;0.312;504;">10.0";0.04161;0.886;"CLINICAL NEUROLOGY"
"SPINE J";"1529-9430";4728;2.426;3.093;0.478;362;"5.5";0.01374;1.105;"CLINICAL NEUROLOGY"
"STROKE";"0039-2499";58619;5.761;6.578;1.311;572;"8.7";0.10295;2.14;"CLINICAL NEUROLOGY"
"THER ADV NEUROL DISO";"1756-2856";463;3.14;NA;0.75;24;"3.4";0.00204;NA;"CLINICAL NEUROLOGY"
"TRANSL STROKE RES";"1868-4483";661;2.444;2.444;0.671;73;"2.5";0.00275;0.693;"CLINICAL NEUROLOGY"
"TURK NEUROSURG";"1019-5149";549;0.576;0.702;0.064;171;"3.8";0.00196;0.207;"CLINICAL NEUROLOGY"
"WORLD NEUROSURG";"1878-8750";2319;2.878;2.901;0.527;300;"2.5";0.0105;0.895;"CLINICAL NEUROLOGY"
"Z NEUROPSYCHOL";"1016-264X";76;0.4;0.302;0.706;17;"";1e-04;0.063;"CLINICAL NEUROLOGY"
"ACS CATAL";"2155-5435";9046;9.312;9.174;1.551;521;"2.2";0.03251;2.283;"CHEMISTRY, PHYSICAL"
"ACS NANO";"1936-0851";78579;12.881;14.412;2.216;1328;"3.4";0.31021;3.979;"CHEMISTRY, PHYSICAL"
"ACTA PHYS-CHIM SIN";"1000-6818";2249;0.852;0.65;0.22;295;"4.5";0.00314;0.094;"CHEMISTRY, PHYSICAL"
"ADSORPT SCI TECHNOL";"0263-6174";743;0.669;0.704;0.143;63;">10.0";0.00073;0.134;"CHEMISTRY, PHYSICAL"
"ADSORPTION";"0929-5607";1853;1.771;1.848;0.287;87;"6.8";0.00261;0.423;"CHEMISTRY, PHYSICAL"
"ADV CATAL";"0360-0564";1455;10;8.053;0;3;">10.0";0.00099;3.287;"CHEMISTRY, PHYSICAL"
"ADV COLLOID INTERFAC";"0001-8686";8997;7.776;10.421;1.757;152;"8.6";0.01339;2.839;"CHEMISTRY, PHYSICAL"
"ADV ENERGY MATER";"1614-6832";10129;16.146;16.581;3.266;312;"2.4";0.03751;4.343;"CHEMISTRY, PHYSICAL"
"ADV FUNCT MATER";"1616-301X";51895;11.805;12.311;2.234;813;"4.6";0.13186;3.12;"CHEMISTRY, PHYSICAL"
"ADV MATER";"0935-9648";128805;17.493;18.172;3.441;966;"5.0";0.29956;4.75;"CHEMISTRY, PHYSICAL"
"ADV PHYS ORG CHEM";"0065-3160";348;2.167;2.087;0;4;">10.0";0.00039;1.062;"CHEMISTRY, PHYSICAL"
"ADV QUANTUM CHEM";"0065-3276";832;1.19;1.926;0.667;24;">10.0";0.00095;0.639;"CHEMISTRY, PHYSICAL"
"ANNU REV PHYS CHEM";"0066-426X";7749;16.842;16.113;2.667;27;"9.5";0.01409;6.673;"CHEMISTRY, PHYSICAL"
"APPL CATAL A-GEN";"0926-860X";34226;3.942;4.402;0.914;595;"8.3";0.03814;0.883;"CHEMISTRY, PHYSICAL"
"APPL CATAL B-ENVIRON";"0926-3373";33001;7.435;7.49;2.539;685;"5.3";0.05334;1.477;"CHEMISTRY, PHYSICAL"
"APPL CLAY SCI";"0169-1317";8332;2.467;3.246;0.332;398;"5.6";0.01453;0.674;"CHEMISTRY, PHYSICAL"
"APPL SURF SCI";"0169-4332";44262;2.711;2.735;0.507;2430;"5.3";0.07467;0.549;"CHEMISTRY, PHYSICAL"
"BIOPHYS CHEM";"0301-4622";4747;1.986;2.002;0.873;55;">10.0";0.00545;0.644;"CHEMISTRY, PHYSICAL"
"CALPHAD";"0364-5916";2511;1.37;1.831;0.442;86;">10.0";0.00354;0.598;"CHEMISTRY, PHYSICAL"
"CARBON";"0008-6223";46718;6.196;6.89;1.378;983;"6.1";0.07322;1.463;"CHEMISTRY, PHYSICAL"
"CATAL COMMUN";"1566-7367";12126;3.699;3.704;0.836;403;"5.4";0.01994;0.706;"CHEMISTRY, PHYSICAL"
"CATAL LETT";"1011-372X";10492;2.307;2.471;0.322;276;"8.6";0.01225;0.551;"CHEMISTRY, PHYSICAL"
"CATAL REV";"0161-4940";2986;8.471;10.35;0.636;11;">10.0";0.00179;2.82;"CHEMISTRY, PHYSICAL"
"CATAL SCI TECHNOL";"2044-4753";5419;5.426;5.525;1.029;456;"2.2";0.0166;1.171;"CHEMISTRY, PHYSICAL"
"CATAL SURV ASIA";"1571-1013";697;3.276;2.943;0.067;15;"7.0";0.00083;0.593;"CHEMISTRY, PHYSICAL"
"CATAL TODAY";"0920-5861";28069;3.893;4.03;1.002;431;"7.9";0.0373;0.9;"CHEMISTRY, PHYSICAL"
"CATALYSTS";"2073-4344";220;2;2.08;0.5;24;"2.1";8e-04;0.502;"CHEMISTRY, PHYSICAL"
"CHEM MATER";"0897-4756";86283;8.354;9.21;2.078;841;"7.3";0.12128;2.2;"CHEMISTRY, PHYSICAL"
"CHEM PHYS";"0301-0104";12844;1.652;1.696;0.436;218;">10.0";0.0133;0.578;"CHEMISTRY, PHYSICAL"
"CHEM PHYS CARBON";"0069-3138";256;1.333;1.667;NA;0;">10.0";2e-05;0.446;"CHEMISTRY, PHYSICAL"
"CHEM PHYS LETT";"0009-2614";52796;1.897;1.963;0.475;849;">10.0";0.04458;0.565;"CHEMISTRY, PHYSICAL"
"CHEMCATCHEM";"1867-3880";6593;4.556;5.213;1.029;441;"2.7";0.02383;1.277;"CHEMISTRY, PHYSICAL"
"CHEMPHYSCHEM";"1439-4235";13390;3.419;3.243;0.759;460;"5.2";0.03731;1.046;"CHEMISTRY, PHYSICAL"
"CHINESE J CATAL";"0253-9837";2532;1.964;1.44;0.387;238;"3.4";0.0045;0.225;"CHEMISTRY, PHYSICAL"
"CLAY CLAY MINER";"0009-8604";4851;1.228;1.623;0.107;28;">10.0";0.00274;0.626;"CHEMISTRY, PHYSICAL"
"CLAY MINER";"0009-8558";2288;0.969;1.243;0.378;37;">10.0";0.00139;0.396;"CHEMISTRY, PHYSICAL"
"COLLOID J+";"1061-933X";1232;0.789;0.785;0.093;97;"8.7";0.0014;0.163;"CHEMISTRY, PHYSICAL"
"COLLOID POLYM SCI";"0303-402X";6434;1.865;2.005;0.4;330;"9.1";0.00699;0.406;"CHEMISTRY, PHYSICAL"
"COLLOID SURFACE A";"0927-7757";23137;2.752;2.832;0.573;872;"7.3";0.02898;0.607;"CHEMISTRY, PHYSICAL"
"COLLOID SURFACE B";"0927-7765";17302;4.152;4.4;0.833;742;"4.2";0.03445;0.847;"CHEMISTRY, PHYSICAL"
"COMPUT THEOR CHEM";"2210-271X";1946;1.545;1.431;0.424;328;"2.5";0.00668;0.335;"CHEMISTRY, PHYSICAL"
"CONCEPT MAGN RESON A";"1546-6086";362;1;1.22;0.2;5;"7.4";0.00083;0.478;"CHEMISTRY, PHYSICAL"
"CONCEPT MAGN RESON B";"1552-5031";259;0.69;0.717;0.286;7;"7.5";0.00058;0.371;"CHEMISTRY, PHYSICAL"
"CURR OPIN COLLOID IN";"1359-0294";5702;5.84;7.966;1.054;56;"8.5";0.00963;2.288;"CHEMISTRY, PHYSICAL"
"DOKL PHYS CHEM";"0012-5016";385;0.586;0.573;0.135;52;"6.5";0.00087;0.178;"CHEMISTRY, PHYSICAL"
"ELECTROCATALYSIS-US";"1868-2529";363;2.367;2.109;0.717;46;"2.5";0.00115;0.466;"CHEMISTRY, PHYSICAL"
"EUR PHYS J E";"1292-8941";3586;1.757;1.831;0.283;113;"8.3";0.00829;0.782;"CHEMISTRY, PHYSICAL"
"FARADAY DISCUSS";"1359-6640";6924;4.606;4.39;1.152;165;"7.8";0.01665;1.678;"CHEMISTRY, PHYSICAL"
"FLUID PHASE EQUILIBR";"0378-3812";11657;2.2;2.334;0.603;506;"8.3";0.01513;0.551;"CHEMISTRY, PHYSICAL"
"FULLER NANOTUB CAR N";"1536-383X";543;0.836;0.853;0.243;107;"4.3";0.00101;0.166;"CHEMISTRY, PHYSICAL"
"GOLD BULL";"0017-1557";1212;1.59;2.541;0.379;29;"9.0";0.00129;0.556;"CHEMISTRY, PHYSICAL"
"HIGH ENERG CHEM+";"0018-1439";577;0.898;0.639;0.324;68;"6.0";0.00078;0.118;"CHEMISTRY, PHYSICAL"
"INT J CHEM KINET";"0538-8066";2630;1.517;1.324;0.338;65;">10.0";0.00227;0.383;"CHEMISTRY, PHYSICAL"
"INT J HYDROGEN ENERG";"0360-3199";44859;3.313;3.659;0.539;2331;"4.3";0.08226;0.619;"CHEMISTRY, PHYSICAL"
"INT J PHOTOENERGY";"1110-662X";1743;1.563;1.72;0.247;316;"2.8";0.00393;0.338;"CHEMISTRY, PHYSICAL"
"INT J QUANTUM CHEM";"0020-7608";7862;1.432;1.191;0.959;172;">10.0";0.00993;0.335;"CHEMISTRY, PHYSICAL"
"INT J THERMOPHYS";"0195-928X";3251;0.963;1.018;0.151;192;"9.6";0.00456;0.29;"CHEMISTRY, PHYSICAL"
"INT REV PHYS CHEM";"0144-235X";1553;7.034;6.282;0.75;16;"9.1";0.00268;2.375;"CHEMISTRY, PHYSICAL"
"INTERMETALLICS";"0966-9795";6969;2.131;2.204;0.66;241;"6.5";0.01517;0.673;"CHEMISTRY, PHYSICAL"
"IONICS";"0947-7047";2161;1.754;1.81;0.355;203;"4.9";0.00353;0.323;"CHEMISTRY, PHYSICAL"
"J ADV OXID TECHNOL";"1203-8407";361;0.988;0.964;0.188;48;"5.3";6e-04;0.195;"CHEMISTRY, PHYSICAL"
"J ALLOY COMPD";"0925-8388";54156;2.999;2.716;0.982;2952;"5.0";0.10301;0.557;"CHEMISTRY, PHYSICAL"
"J AM SOC MASS SPECTR";"1044-0305";8419;2.945;2.959;0.73;233;"6.9";0.01661;0.875;"CHEMISTRY, PHYSICAL"
"J CATAL";"0021-9517";39917;6.921;7.31;1.41;315;">10.0";0.0355;1.622;"CHEMISTRY, PHYSICAL"
"J CHEM THEORY COMPUT";"1549-9618";17918;5.498;5.76;1.195;550;"3.9";0.05994;1.761;"CHEMISTRY, PHYSICAL"
"J CHEM THERMODYN";"0021-9614";7899;2.679;2.531;0.784;365;"6.0";0.01331;0.58;"CHEMISTRY, PHYSICAL"
"J COLLOID INTERF SCI";"0021-9797";52238;3.368;3.637;0.827;706;"8.9";0.06124;0.827;"CHEMISTRY, PHYSICAL"
"J DISPER SCI TECHNOL";"0193-2691";1939;0.795;0.824;0.209;206;"5.9";0.00282;0.155;"CHEMISTRY, PHYSICAL"
"J ENERG MATER";"0737-0652";378;1.295;1.347;0.162;37;"7.7";0.00063;0.329;"CHEMISTRY, PHYSICAL"
"J ENERGY CHEM";"2095-4956";314;2.352;2.352;0.241;108;"1.5";0.00081;0.42;"CHEMISTRY, PHYSICAL"
"J MATER CHEM A";"2050-7488";18266;7.443;7.449;1.59;2499;"1.4";0.04432;1.457;"CHEMISTRY, PHYSICAL"
"J MOL CATAL A-CHEM";"1381-1169";19981;3.615;3.732;0.822;400;"8.2";0.01815;0.713;"CHEMISTRY, PHYSICAL"
"J MOL CATAL B-ENZYM";"1381-1177";5533;2.128;2.622;0.433;252;"5.6";0.00938;0.526;"CHEMISTRY, PHYSICAL"
"J MOL LIQ";"0167-7322";4563;2.515;2.154;0.8;545;"3.9";0.00791;0.439;"CHEMISTRY, PHYSICAL"
"J MOL STRUCT";"0022-2860";14924;1.602;1.585;0.374;831;"7.4";0.01723;0.295;"CHEMISTRY, PHYSICAL"
"J NAT GAS CHEM";"1003-9953";1302;2.398;2.142;NA;0;"4.8";0.00282;0.443;"CHEMISTRY, PHYSICAL"
"J PHASE EQUILIB DIFF";"1547-7037";1946;0.482;0.623;0.159;69;">10.0";0.00179;0.23;"CHEMISTRY, PHYSICAL"
"J PHOTOCH PHOTOBIO A";"1010-6030";13268;2.495;2.549;0.609;238;"9.4";0.01139;0.538;"CHEMISTRY, PHYSICAL"
"J PHOTOCH PHOTOBIO C";"1389-5567";2767;16.091;14.824;2.2;20;"6.9";0.00427;3.63;"CHEMISTRY, PHYSICAL"
"J PHYS CHEM A";"1089-5639";57311;2.693;2.713;0.676;1274;"7.6";0.09689;0.777;"CHEMISTRY, PHYSICAL"
"J PHYS CHEM B";"1520-6106";123262;3.302;3.528;0.754;1523;"9.0";0.14274;0.989;"CHEMISTRY, PHYSICAL"
"J PHYS CHEM C";"1932-7447";113624;4.772;5.295;0.768;3411;"4.3";0.30727;1.234;"CHEMISTRY, PHYSICAL"
"J PHYS CHEM LETT";"1948-7185";20052;7.458;7.536;2.017;689;"2.8";0.09524;2.425;"CHEMISTRY, PHYSICAL"
"J PHYS CHEM REF DATA";"0047-2689";5881;2.811;4.25;1;17;">10.0";0.00172;1.356;"CHEMISTRY, PHYSICAL"
"J PHYS ORG CHEM";"0894-3230";2684;1.38;1.332;0.512;123;"7.7";0.00402;0.334;"CHEMISTRY, PHYSICAL"
"J POROUS MAT";"1380-2224";1577;1.108;1.343;0.27;126;"5.8";0.0025;0.274;"CHEMISTRY, PHYSICAL"
"J SOLID STATE CHEM";"0022-4596";21321;2.133;2.344;0.532;385;">10.0";0.02204;0.55;"CHEMISTRY, PHYSICAL"
"J SOLUTION CHEM";"0095-9782";3246;1.177;1.303;0.248;149;">10.0";0.00341;0.292;"CHEMISTRY, PHYSICAL"
"J STRUCT CHEM+";"0022-4766";1674;0.508;0.548;0.117;223;">10.0";0.00176;0.117;"CHEMISTRY, PHYSICAL"
"J SUPERCRIT FLUID";"0896-8446";7086;2.371;2.919;0.511;278;"5.9";0.01101;0.577;"CHEMISTRY, PHYSICAL"
"J SURFACTANTS DETERG";"1097-3958";1276;1.685;1.719;0.244;135;"5.6";0.00162;0.271;"CHEMISTRY, PHYSICAL"
"J THERM ANAL CALORIM";"1388-6150";11845;2.042;1.75;0.428;828;"5.7";0.01328;0.251;"CHEMISTRY, PHYSICAL"
"J WATER CHEM TECHNO+";"1063-455X";130;0.231;0.296;0.06;50;"5.3";0.00022;0.053;"CHEMISTRY, PHYSICAL"
"JOHNSON MATTHEY TECH";"2056-5135";1;NA;NA;0.067;15;"";0;NA;"CHEMISTRY, PHYSICAL"
"KINET CATAL+";"0023-1584";1385;0.758;0.762;0.072;97;">10.0";0.00158;0.179;"CHEMISTRY, PHYSICAL"
"LANGMUIR";"0743-7463";118847;4.457;4.543;0.682;1850;"7.2";0.18462;1.096;"CHEMISTRY, PHYSICAL"
"MAGN RESON CHEM";"0749-1581";3328;1.179;1.225;0.2;105;"9.2";0.00375;0.316;"CHEMISTRY, PHYSICAL"
"MICROPOR MESOPOR MAT";"1387-1811";18529;3.453;3.552;0.846;519;"6.2";0.02855;0.757;"CHEMISTRY, PHYSICAL"
"MOL SIMULAT";"0892-7022";2006;1.133;1.078;0.618;123;"7.6";0.00332;0.312;"CHEMISTRY, PHYSICAL"
"NANO ENERGY";"2211-2855";2755;10.325;10.355;1.611;221;"1.8";0.00826;2.252;"CHEMISTRY, PHYSICAL"
"NANO LETT";"1530-6984";118534;13.592;14.887;2.552;1103;"4.9";0.36396;4.889;"CHEMISTRY, PHYSICAL"
"NANO RES";"1998-0124";5222;7.01;8.387;1.374;174;"3.9";0.01741;2.133;"CHEMISTRY, PHYSICAL"
"NAT MATER";"1476-1122";64622;36.503;44.046;7.242;153;"6.1";0.19755;17.85;"CHEMISTRY, PHYSICAL"
"PART PART SYST CHAR";"0934-0866";1216;3.081;2.509;1.038;131;"2.2";0.00209;0.615;"CHEMISTRY, PHYSICAL"
"PETROL CHEM+";"0965-5441";421;0.42;0.479;0.03;99;"5.5";0.00087;0.121;"CHEMISTRY, PHYSICAL"
"PHOTOCH PHOTOBIO SCI";"1474-905X";5185;2.267;2.618;0.492;183;"5.6";0.01153;0.699;"CHEMISTRY, PHYSICAL"
"PHYS CHEM CHEM PHYS";"1463-9076";60356;4.493;4.219;0.991;2880;"3.9";0.17937;1.209;"CHEMISTRY, PHYSICAL"
"PHYS CHEM GLASSES-B";"1753-3562";1256;0.691;0.675;0.185;27;">10.0";0.00068;0.187;"CHEMISTRY, PHYSICAL"
"PHYS CHEM LIQ";"0031-9104";691;0.783;0.62;0.303;66;"9.8";0.00064;0.12;"CHEMISTRY, PHYSICAL"
"PHYSICOCHEM PROBL MI";"1643-1049";296;0.926;0.821;0.224;67;"3.6";0.00054;0.157;"CHEMISTRY, PHYSICAL"
"PLASMONICS";"1557-1955";1713;2.238;2.504;0.529;172;"3.2";0.00507;0.619;"CHEMISTRY, PHYSICAL"
"PLATIN MET REV";"0032-1400";815;1.974;2.033;0.286;7;">10.0";0.00068;0.475;"CHEMISTRY, PHYSICAL"
"PROG NUCL MAG RES SP";"0079-6565";2127;7.237;6.281;1.684;19;"8.7";0.00431;2.383;"CHEMISTRY, PHYSICAL"
"PROG REACT KINET MEC";"1468-6783";226;0.354;0.543;0.03;33;">10.0";0.00017;0.078;"CHEMISTRY, PHYSICAL"
"PROG SURF SCI";"0079-6816";1876;5.696;6.93;2.143;7;">10.0";0.00269;2.968;"CHEMISTRY, PHYSICAL"
"RADIAT PHYS CHEM";"0969-806X";5789;1.38;1.404;0.403;506;"8.7";0.007;0.322;"CHEMISTRY, PHYSICAL"
"REACT KINET MECH CAT";"1878-5190";631;1.17;1.168;0.176;142;"3.0";0.00175;0.213;"CHEMISTRY, PHYSICAL"
"RUSS J PHYS CHEM A+";"0036-0244";2840;0.562;0.492;0.097;413;"8.7";0.00337;0.101;"CHEMISTRY, PHYSICAL"
"SCI TECHNOL ENERG MA";"1347-9466";111;0.393;0.42;0.444;27;"4.6";0.00017;0.076;"CHEMISTRY, PHYSICAL"
"SILICON-NETH";"1876-990X";195;1.069;1.438;0.267;30;"4.0";0.00063;0.307;"CHEMISTRY, PHYSICAL"
"SMALL";"1613-6810";26638;8.368;8.646;1.704;581;"4.3";0.07671;2.254;"CHEMISTRY, PHYSICAL"
"SOFT MATTER";"1744-683X";27131;4.029;4.289;1.105;966;"3.4";0.10152;1.227;"CHEMISTRY, PHYSICAL"
"SOLID STATE IONICS";"0167-2738";23635;2.561;2.763;0.322;457;">10.0";0.01518;0.583;"CHEMISTRY, PHYSICAL"
"SOLID STATE NUCL MAG";"0926-2040";1126;2.266;2.195;0.538;26;"8.7";0.00211;0.682;"CHEMISTRY, PHYSICAL"
"SOLID STATE SCI";"1293-2558";5809;1.839;1.991;0.403;196;"5.5";0.01116;0.442;"CHEMISTRY, PHYSICAL"
"STRUCT BOND";"0081-5993";1792;1.909;2.746;0.492;61;">10.0";0.0014;0.771;"CHEMISTRY, PHYSICAL"
"STRUCT CHEM";"1040-0400";2117;1.837;1.596;0.355;183;"4.3";0.00371;0.282;"CHEMISTRY, PHYSICAL"
"SURF INTERFACE ANAL";"0142-2421";6060;1.245;1.29;0.149;328;">10.0";0.00696;0.313;"CHEMISTRY, PHYSICAL"
"SURF REV LETT";"0218-625X";657;0.38;0.418;0.088;91;"9.6";0.00043;0.07;"CHEMISTRY, PHYSICAL"
"SURF SCI";"0039-6028";22766;1.925;1.835;0.668;232;">10.0";0.01617;0.583;"CHEMISTRY, PHYSICAL"
"SURF SCI REP";"0167-5729";4495;14.765;18.563;0.182;11;">10.0";0.00487;6.385;"CHEMISTRY, PHYSICAL"
"TENSIDE SURFACT DET";"0932-3414";405;0.739;0.648;0.067;60;"9.6";0.00041;0.097;"CHEMISTRY, PHYSICAL"
"TETRAHEDRON-ASYMMETR";"0957-4166";10854;2.155;2.038;0.483;209;"9.0";0.01076;0.426;"CHEMISTRY, PHYSICAL"
"THEOR CHEM ACC";"1432-881X";6462;2.233;2.104;0.757;136;"6.8";0.00905;0.63;"CHEMISTRY, PHYSICAL"
"THERMOCHIM ACTA";"0040-6031";14066;2.184;2.392;0.411;377;">10.0";0.01517;0.55;"CHEMISTRY, PHYSICAL"
"TOP CATAL";"1022-5528";5969;2.365;2.739;0.682;170;"6.4";0.01103;0.707;"CHEMISTRY, PHYSICAL"
"VIB SPECTROSC";"0924-2031";3394;2.003;2.015;0.261;134;"7.5";0.00508;0.483;"CHEMISTRY, PHYSICAL"
"Z NATURFORSCH A";"0932-0784";1693;0.789;0.723;0.202;89;">10.0";0.00162;0.179;"CHEMISTRY, PHYSICAL"
"Z PHYS CHEM";"0942-9352";1996;1.356;1.137;0.143;70;">10.0";0.00272;0.36;"CHEMISTRY, PHYSICAL"
"ADV CARBOHYD CHEM BI";"0065-2318";720;2.1;5.2;0;5;">10.0";0.00068;1.431;"CHEMISTRY, ORGANIC"
"ADV HETEROCYCL CHEM";"0065-2725";825;1.783;2.283;0.286;14;">10.0";4e-04;0.421;"CHEMISTRY, ORGANIC"
"ADV ORGANOMET CHEM";"0065-3055";791;7;6.7;3.2;5;">10.0";0.00031;1.962;"CHEMISTRY, ORGANIC"
"ADV PHYS ORG CHEM";"0065-3160";348;2.167;2.087;0;4;">10.0";0.00039;1.062;"CHEMISTRY, ORGANIC"
"ADV SYNTH CATAL";"1615-4150";18854;5.663;5.556;1.522;410;"4.8";0.04154;1.307;"CHEMISTRY, ORGANIC"
"ALDRICHIM ACTA";"0002-5100";1097;17.083;13.871;1;6;"7.5";0.0023;4.671;"CHEMISTRY, ORGANIC"
"ARKIVOC";"1551-7004";3435;1.165;1.181;0.312;125;"6.9";0.00418;0.239;"CHEMISTRY, ORGANIC"
"ASIAN J ORG CHEM";"2193-5807";682;3.318;3.324;0.648;162;"1.6";0.00225;0.819;"CHEMISTRY, ORGANIC"
"BEILSTEIN J ORG CHEM";"1860-5397";3057;2.757;2.78;0.495;325;"2.8";0.01093;0.71;"CHEMISTRY, ORGANIC"
"BIOCONJUGATE CHEM";"1043-1802";14391;4.513;4.676;0.861;245;"6.5";0.02542;1.195;"CHEMISTRY, ORGANIC"
"BIOINORG CHEM APPL";"1565-3633";515;2.081;1.813;0.154;52;"4.9";0.00086;0.339;"CHEMISTRY, ORGANIC"
"BIOMACROMOLECULES";"1525-7797";31769;5.75;6.432;0.965;489;"6.0";0.05487;1.451;"CHEMISTRY, ORGANIC"
"BIOORG CHEM";"0045-2068";1118;2.152;1.839;0.398;83;"9.7";0.00137;0.512;"CHEMISTRY, ORGANIC"
"BIOORG MED CHEM LETT";"0960-894X";36575;2.42;2.317;0.496;1115;"6.2";0.05964;0.508;"CHEMISTRY, ORGANIC"
"BIOORGAN MED CHEM";"0968-0896";27492;2.793;2.97;0.589;688;"6.4";0.04348;0.663;"CHEMISTRY, ORGANIC"
"CARBOHYD POLYM";"0144-8617";30889;4.074;4.568;0.962;1162;"4.4";0.05081;0.783;"CHEMISTRY, ORGANIC"
"CARBOHYD RES";"0008-6215";14667;1.929;2.133;0.523;216;">10.0";0.01395;0.503;"CHEMISTRY, ORGANIC"
"CHEM HETEROCYCL COM+";"0009-3122";2188;0.621;0.696;0.148;182;">10.0";0.00176;0.124;"CHEMISTRY, ORGANIC"
"CHEM NAT COMPD+";"0009-3130";2360;0.509;0.668;0.096;376;"7.8";0.00209;0.102;"CHEMISTRY, ORGANIC"
"CHINESE J ORG CHEM";"0253-2786";1790;0.991;0.7;0.212;312;"4.0";0.00198;0.081;"CHEMISTRY, ORGANIC"
"CHIRALITY";"0899-0042";3079;1.886;1.911;0.473;110;"6.8";0.00519;0.487;"CHEMISTRY, ORGANIC"
"CURR ORG CHEM";"1385-2728";4443;2.157;2.738;0.371;170;"5.3";0.00813;0.589;"CHEMISTRY, ORGANIC"
"CURR ORG SYNTH";"1570-1794";853;2.117;2.425;0.5;58;"4.4";0.00171;0.509;"CHEMISTRY, ORGANIC"
"EUR J ORG CHEM";"1434-193X";22208;3.065;3.034;0.744;875;"5.3";0.04326;0.703;"CHEMISTRY, ORGANIC"
"HETEROCYCL COMMUN";"0793-0283";380;0.593;0.46;0.089;56;"9.3";0.00031;0.076;"CHEMISTRY, ORGANIC"
"HETEROCYCLES";"0385-5414";5697;1.079;0.974;0.399;268;">10.0";0.00506;0.204;"CHEMISTRY, ORGANIC"
"INDIAN J CHEM B";"0376-4699";2284;0.387;0.635;0.017;115;">10.0";0.00118;0.114;"CHEMISTRY, ORGANIC"
"INDIAN J HETEROCY CH";"0971-1627";439;0.305;0.21;0.034;58;">10.0";2e-04;0.024;"CHEMISTRY, ORGANIC"
"J CARBOHYD CHEM";"0732-8303";765;1.417;1.011;0.206;34;">10.0";0.00071;0.25;"CHEMISTRY, ORGANIC"
"J FLUORINE CHEM";"0022-1139";5894;1.948;1.975;0.462;210;"8.3";0.0071;0.427;"CHEMISTRY, ORGANIC"
"J HETEROCYCLIC CHEM";"0022-152X";5600;0.787;1.094;0.137;343;">10.0";0.00373;0.195;"CHEMISTRY, ORGANIC"
"J ORG CHEM";"0022-3263";101519;4.721;4.385;1.073;1324;">10.0";0.10827;1.035;"CHEMISTRY, ORGANIC"
"J ORGANOMET CHEM";"0022-328X";21867;2.173;2.056;0.821;546;">10.0";0.01587;0.405;"CHEMISTRY, ORGANIC"
"J PHYS ORG CHEM";"0894-3230";2684;1.38;1.332;0.512;123;"7.7";0.00402;0.334;"CHEMISTRY, ORGANIC"
"J SYN ORG CHEM JPN";"0037-9980";645;0.505;0.707;0.055;110;"5.2";0.00115;0.15;"CHEMISTRY, ORGANIC"
"LETT ORG CHEM";"1570-1786";755;0.664;0.621;0.19;121;"5.1";0.00117;0.111;"CHEMISTRY, ORGANIC"
"MAIN GROUP MET CHEM";"0792-1241";248;0.561;0.351;0.038;26;">10.0";0.00011;0.052;"CHEMISTRY, ORGANIC"
"MINI-REV ORG CHEM";"1570-193X";527;1.042;1.548;0.171;35;"5.7";0.00096;0.324;"CHEMISTRY, ORGANIC"
"MOLECULES";"1420-3049";13592;2.416;2.791;0.307;1286;"3.7";0.0371;0.605;"CHEMISTRY, ORGANIC"
"NAT PROD REP";"0265-0568";8047;10.107;10.545;2.402;82;"6.7";0.01673;3.173;"CHEMISTRY, ORGANIC"
"ORG BIOMOL CHEM";"1477-0520";23798;3.562;3.382;0.966;1125;"3.9";0.05829;0.807;"CHEMISTRY, ORGANIC"
"ORG LETT";"1523-7060";87730;6.364;5.849;1.864;1629;"5.3";0.17383;1.407;"CHEMISTRY, ORGANIC"
"ORG PREP PROCED INT";"0030-4948";1024;0.956;1.701;0.351;37;">10.0";0.00089;0.334;"CHEMISTRY, ORGANIC"
"ORG PROCESS RES DEV";"1083-6160";4632;2.528;2.327;0.606;203;"5.9";0.00823;0.546;"CHEMISTRY, ORGANIC"
"ORGANOMETALLICS";"0276-7333";42594;4.126;3.811;0.9;847;"7.3";0.06248;0.871;"CHEMISTRY, ORGANIC"
"PETROL CHEM+";"0965-5441";421;0.42;0.479;0.03;99;"5.5";0.00087;0.121;"CHEMISTRY, ORGANIC"
"PHOSPHORUS SULFUR";"1042-6507";2646;0.561;0.611;0.177;175;"9.3";0.00211;0.101;"CHEMISTRY, ORGANIC"
"POLYCYCL AROMAT COMP";"1040-6638";500;0.76;0.92;0.282;39;">10.0";0.00048;0.22;"CHEMISTRY, ORGANIC"
"RUSS J BIOORG CHEM+";"1068-1620";748;0.535;0.536;0.08;100;"7.9";0.00096;0.115;"CHEMISTRY, ORGANIC"
"RUSS J ORG CHEM+";"1070-4280";3071;0.658;0.599;0.192;360;"8.8";0.00228;0.087;"CHEMISTRY, ORGANIC"
"SYNLETT";"0936-5214";16588;2.419;2.279;0.514;531;"7.3";0.0253;0.555;"CHEMISTRY, ORGANIC"
"SYNTHESIS-STUTTGART";"0039-7881";18310;2.689;2.389;0.476;370;"8.9";0.02312;0.578;"CHEMISTRY, ORGANIC"
